#sample	Num_CNVs	Num_Auto_Del	Num_Auto_Dup	Num_ChrX_Del	Num_ChrX_Dup	Len_CNVs	Len_Auto_Del	Len_Auto_Dup	Len_ChrX_Del	Len_ChrX_Dup	Chrm_aberration
con_scz_aber_eur_A6.0*Ab_PT-24EJ|STILT_33262452	2	0	1	0	1	520387	0	92930	0	427457	
cas_scz_uclo_eur_A6.0*UCL_PT-1NY4|HOBOS_0S2188	1	0	1	0	0	97919	0	97919	0	0	
c848|c848	6	1	5	0	0	643633	45843	597790	0	0	
cas_scz_uclo_eur_A6.0*UCL_PT-1NT6|SORGO_00S295	3	1	2	0	0	367567	52419	315148	0	0	
SF_0081|SF_0081	5	2	3	0	0	825835	443735	382100	0	0	
cas_scz_swe1_eur_A5.0*Sw1_PT-1SBZ|TRIKE_36112768	2	1	1	0	0	84724	28208	56516	0	0	
con_scz_aber_eur_A6.0*Ab_PT-23PQ|THERM_12772334	1	1	0	0	0	121549	121549	0	0	0	
cas_scz_uclo_eur_A6.0*UCL_PT-1NPM|RYNDS_00S125	3	2	1	0	0	115999	74010	41989	0	0	
cas_scz_port_eur_A6.0*Port_PT-1OYV|CONCH_AZ9088-2	2	1	1	0	0	310745	188435	122310	0	0	
con_scz_aber_eur_A6.0*Ab_PT-25KB|BLOCK_BIP19510	2	1	0	0	1	138944	118458	0	0	20486	
con_scz_aber_eur_A6.0*Ab_PT-23WX|BLOCK_33262229	3	2	0	0	1	61609	45235	0	0	16374	
cas_scz_uclo_eur_A6.0*UCL_PT-1NRF|REBID_00S225	1	1	0	0	0	86904	86904	0	0	0	
con_scz_swe1_eur_A5.0*Sw1_PT-1S2O|CHICO_36113522	2	2	0	0	0	271840	271840	0	0	0	
SF_0275|SF_0275	2	0	2	0	0	681453	0	681453	0	0	
cas_scz_uclo_eur_A6.0*UCL_PT-1NVH|NADAS_00S996	3	1	2	0	0	276568	22852	253716	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-22PM|DRECK_8568259	4	2	2	0	0	784237	629151	155086	0	0	
con_scz_aber_eur_A6.0*Ab_PT-24R4|BLOCK_BIP18371	1	1	0	0	0	32311	32311	0	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-2374|UNMAN_12765052	1	0	1	0	0	99641	0	99641	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-232Z|DRECK_12763958	1	0	1	0	0	53186	0	53186	0	0	
SF_0063|SF_0063	1	1	0	0	0	91527	91527	0	0	0	
con_scz_port_eur_A6.0*Port_PT-1P7H|MOGGY_AZ8415-6	2	1	1	0	0	443035	217011	226024	0	0	
p1326|p1326	4	1	3	0	0	889437	100205	789232	0	0	
con_scz_aber_eur_A6.0*Ab_PT-24T7|UNMAN_BIP18509	1	1	0	0	0	29562	29562	0	0	0	
SF_0778|SF_0778	1	0	1	0	0	177339	0	177339	0	0	
con_scz_aber_eur_A6.0*Ab_PT-23E1|BLOCK_12769563	2	2	0	0	0	331351	331351	0	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-22LY|MUTER_8568233	1	1	0	0	0	66464	66464	0	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-236W|WHEYS_12765084	1	1	0	0	0	167722	167722	0	0	0	
con_scz_aber_eur_A6.0*Ab_PT-23VH|THERM_12817976	3	1	2	0	0	196207	23569	172638	0	0	
SF_1066|SF_1066	2	2	0	0	0	229757	229757	0	0	0	
p604s|p604s	3	1	2	0	0	209912	44420	165492	0	0	
SF_0016|SF_0016	1	1	0	0	0	132609	132609	0	0	0	
con_scz_aber_eur_A6.0*Ab_PT-241S|THERM_33261657	1	0	1	0	0	56156	0	56156	0	0	
p31|p31	5	3	1	0	1	124510	93800	18660	0	12050	
XENON_p_Bipolar_ED_Affy_P3_REDO_BI_SNP_C09_162184.CEL	5	1	4	0	0	624741	230734	394007	0	0	
p1036|p1036	2	2	0	0	0	83430	83430	0	0	0	
c933|c933	2	2	0	0	0	137797	137797	0	0	0	
con_scz_aber_eur_A6.0*Ab_PT-23NA|GOUTS_12781101	4	0	4	0	0	284943	0	284943	0	0	
con_scz_aber_eur_A6.0*Ab_PT-23XB|BOURG_33262200	2	1	1	0	0	136862	120040	16822	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-238V|TRACK_12764461	1	0	0	0	1	104266	0	0	0	104266	
c977|c977	1	0	1	0	0	64582	0	64582	0	0	
cas_scz_uclo_eur_A6.0*UCL_PT-1O1K|NADAS_0S2275	2	0	2	0	0	360311	0	360311	0	0	
cas_scz_uclo_eur_A6.0*UCL_PT-1O44|SORGO_F155-02	2	2	0	0	0	135073	135073	0	0	0	
cas_scz_port_eur_A6.0*Port_PT-1PBJ|SAUCY_AZE013-3	3	1	2	0	0	193624	48086	145538	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-22GY|WHEYS_33261983	2	1	1	0	0	1023160	170638	852522	0	0	
cas_scz_port_eur_A6.0*Port_PT-1PR4|CONCH_AZ9287-3	1	1	0	0	0	83878	83878	0	0	0	
SF_0190|SF_0190	2	1	1	0	0	107093	22899	84194	0	0	
LIMNS_p_Bipolar_ED_Affy_P1_BI_SNP_C05_143100.CEL	1	1	0	0	0	63093	63093	0	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-23CS|WATAP_12764422	3	2	1	0	0	111629	58411	53218	0	0	
SF_0148|SF_0148	2	1	1	0	0	121028	91433	29595	0	0	
c613|c613	3	3	0	0	0	98227	98227	0	0	0	
cas_scz_port_eur_A6.0*Port_PT-1PAQ|SAUCY_AZ9373-2	2	1	1	0	0	627201	75314	551887	0	0	
p652|p652	2	1	1	0	0	397238	301608	95630	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-22AL|ADDER_33262247	1	1	0	0	0	132602	132602	0	0	0	
cas_scz_uclo_eur_A6.0*UCL_PT-1NZB|RYNDS_0S2230	3	2	1	0	0	535466	83301	452165	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-22Q4|WHEYS_8568279	2	0	2	0	0	395983	0	395983	0	0	
SF_0606|SF_0606	1	0	1	0	0	16128	0	16128	0	0	
con_scz_aber_eur_A6.0*Ab_PT-24RU|ADDER_BIP18456	3	1	2	0	0	233219	29960	203259	0	0	
SF_0091|SF_0091	2	1	1	0	0	199793	51451	148342	0	0	
p822|p822	4	2	2	0	0	2514164	111589	2402575	0	0	
con_scz_aber_eur_A6.0*Ab_PT-23HU|UNMAN_20274151	1	1	0	0	0	55836	55836	0	0	0	
con_scz_aber_eur_A6.0*Ab_PT-23HX|WATAP_20273339	2	1	1	0	0	371978	70648	301330	0	0	
con_scz_aber_eur_A6.0*Ab_PT-247O|WRACK_33262317	1	1	0	0	0	235808	235808	0	0	0	
con_scz_aber_eur_A6.0*Ab_PT-23JY|BLOCK_8936863	5	3	2	0	0	633779	250262	383517	0	0	
con_scz_aber_eur_A6.0*Ab_PT-24S5|COVET_BIP18305	4	1	3	0	0	413656	82565	331091	0	0	
p1245|p1245	12	5	6	0	1	974527	245059	548039	0	181429	
con_scz_aber_eur_A6.0*Ab_PT-24SH|UNMAN_BIP18387	3	2	1	0	0	693172	160063	533109	0	0	
SF_0004|SF_0004	2	1	0	1	0	661016	628473	0	32543	0	
LIMNS_p_Bipolar_ED_Affy_P1_BI_SNP_D11_143198.CEL	5	3	2	0	0	490940	203509	287431	0	0	
con_scz_aber_eur_A6.0*Ab_PT-23IK|TRACK_10139295	2	2	0	0	0	118825	118825	0	0	0	
SF_1145|SF_1145	1	1	0	0	0	39778	39778	0	0	0	
p770|p770	3	1	2	0	0	212099	51376	160723	0	0	
con_scz_aber_eur_A6.0*Ab_PT-23EF|ADDER_12776398	3	2	1	0	0	148912	80007	68905	0	0	
TEPEE_p_Bipolar_ED_Affy_P4_BI_SNP_H10_143580.CEL	5	4	1	0	0	324677	217604	107073	0	0	
p309|p309	5	2	3	0	0	619803	94218	525585	0	0	
cas_scz_uclo_eur_A6.0*UCL_PT-1NXL|RYNDS_0S2170	5	2	0	0	3	491269	326622	0	0	164647	
cas_scz_uclo_eur_A6.0*UCL_PT-1NUF|LAIRS_00S645	3	3	0	0	0	167636	167636	0	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-233J|COVET_12763907	2	0	2	0	0	1064163	0	1064163	0	0	
SF_0698|SF_0698	4	2	2	0	0	407794	242623	165171	0	0	
SF_0094|SF_0094	5	1	3	1	0	393841	69608	309369	14864	0	
