#sample	Num_CNVs	Num_Auto_Del	Num_Auto_Dup	Num_ChrX_Del	Num_ChrX_Dup	Len_CNVs	Len_Auto_Del	Len_Auto_Dup	Len_ChrX_Del	Len_ChrX_Dup	Chrm_aberration
cas_scz_aber_eur_A6.0*Ab_PT-23D5|THERM_12764001	1	1	0	0	0	58733	58733	0	0	0	
LIMNS_p_Bipolar_ED_Affy_P1_BI_SNP_C07_143132.CEL	2	1	1	0	0	216676	171101	45575	0	0	
cas_scz_uclo_eur_A6.0*UCL_PT-1NQF|HOBOS_00S159	1	0	0	0	1	194694	0	0	0	194694	
SF_1081|SF_1081	1	1	0	0	0	67809	67809	0	0	0	
c738|c738	6	2	4	0	0	577823	77411	500412	0	0	
con_scz_swe1_eur_A5.0*Sw1_PT-1RV9|YOKEL_36114324	2	2	0	0	0	68795	68795	0	0	0	
c691|c691	4	3	1	0	0	159426	138210	21216	0	0	
cas_scz_uclo_eur_A6.0*UCL_PT-1NS9|SORGO_00S258	1	1	0	0	0	108200	108200	0	0	0	
TEPEE_p_Bipolar_ED_Affy_P4_BI_SNP_E02_143446.CEL	1	0	1	0	0	94945	0	94945	0	0	
p767|p767	7	2	5	0	0	404170	116678	287492	0	0	
con_scz_port_eur_A6.0*Port_PT-1OIV|SAUCY_AZ8300-13	3	0	0	0	3	595205	0	0	0	595205	
cas_scz_aber_eur_A6.0*Ab_PT-22V5|BOURG_8567878	2	1	1	0	0	163889	39028	124861	0	0	
SF_0797|SF_0797	1	1	0	0	0	38620	38620	0	0	0	
cas_scz_port_eur_A6.0*Port_PT-1OXV|COAST_AZ8013-1	1	0	0	0	1	20486	0	0	0	20486	
cas_scz_port_eur_A6.0*Port_PT-1PJR|COAST_AZ8552-5	1	0	1	0	0	206871	0	206871	0	0	
p1314|p1314	5	2	3	0	0	351060	90005	261055	0	0	
cas_scz_uclo_eur_A6.0*UCL_PT-1NZD|LAIRS_0S2232	2	0	2	0	0	775056	0	775056	0	0	
con_scz_aber_eur_A6.0*Ab_PT-23V1|THERM_12771005	3	2	1	0	0	334460	111453	223007	0	0	
TEPEE_p_Bipolar_ED_Affy_P4_BI_SNP_H11_143596.CEL	3	1	2	0	0	506737	20404	486333	0	0	
cas_scz_swe1_eur_A5.0*Sw1_PT-1RZP|PALEA_36112492	4	3	1	0	0	210055	148495	61560	0	0	
con_scz_aber_eur_A6.0*Ab_PT-23OW|MUTER_33261941	1	1	0	0	0	35278	35278	0	0	0	
c975|c975	1	0	1	0	0	189304	0	189304	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-22VJ|BOURG_8567892	1	0	0	0	1	39343	0	0	0	39343	
con_scz_aber_eur_A6.0*Ab_PT-23ID|MAUND_20274164	1	0	1	0	0	18042	0	18042	0	0	
XENON_p_Bipolar_ED_Affy_P3_REDO_BI_SNP_D10_162202.CEL	5	5	0	0	0	1430213	1430213	0	0	0	
SF_1104|SF_1104	3	2	1	0	0	85115	68000	17115	0	0	
p303|p303	2	1	1	0	0	364416	134284	230132	0	0	
cas_scz_uclo_eur_A6.0*UCL_PT-1NRI|RYNDS_00S230	1	0	1	0	0	688889	0	688889	0	0	
cas_scz_port_eur_A6.0*Port_PT-1P9S|AWING_AZ8612-2	1	0	1	0	0	16827	0	16827	0	0	
cas_scz_swe1_eur_A5.0*Sw1_PT-1S31|CHICO_36112263	5	2	3	0	0	492780	193715	299065	0	0	
p1244|p1244	5	2	2	1	0	264875	120315	108289	36271	0	
con_scz_aber_eur_A6.0*Ab_PT-23VM|TRACK_12784921	4	2	2	0	0	904461	45419	859042	0	0	
cas_scz_port_eur_A6.0*Port_PT-1OEQ|MOGGY_AZE120-3	4	3	1	0	0	174557	160935	13622	0	0	
p1009|p1009	1	1	0	0	0	12054	12054	0	0	0	
c566|c566	2	0	2	0	0	439076	0	439076	0	0	
con_scz_swe1_eur_A5.0*Sw1_PT-1S1Q|SODIC_36114297	1	0	0	0	1	111948	0	0	0	111948	
c900|c900	3	2	1	0	0	177254	131183	46071	0	0	
c987|c987	5	1	4	0	0	533229	56730	476499	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-24C6|MAUND_8643204	3	2	1	0	0	411480	86486	324994	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-24AV|GOUTS_12776422	1	1	0	0	0	165774	165774	0	0	0	
con_scz_swe1_eur_A5.0*Sw1_PT-1TBH|SODIC_36113593	1	1	0	0	0	255400	255400	0	0	0	
con_scz_aber_eur_A6.0*Ab_PT-23KC|BOURG_20274219	1	1	0	0	0	255810	255810	0	0	0	
c954|c954	4	3	1	0	0	201258	178877	22381	0	0	
p253|p253	2	1	1	0	0	211233	99262	111971	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-22QW|THERM_8567819	1	0	1	0	0	105221	0	105221	0	0	
cas_scz_swe1_eur_A5.0*Sw1_PT-1RZY|SODIC_36112392	2	1	1	0	0	103167	69541	33626	0	0	
c568|c568	1	0	0	0	1	13107	0	0	0	13107	
c769|c769	10	2	8	0	0	965241	78442	886799	0	0	
TEPEE_p_Bipolar_ED_Affy_P4_BI_SNP_C09_143554.CEL	2	1	1	0	0	110629	70660	39969	0	0	
p1341|p1341	2	0	2	0	0	307344	0	307344	0	0	
cas_scz_uclo_eur_A6.0*UCL_PT-1NUW|GAUZE_00S662	3	3	0	0	0	139257	139257	0	0	0	
SF_0445|SF_0445	3	1	2	0	0	803322	48446	754876	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-23CZ|STILT_12764446	2	1	1	0	0	89644	70858	18786	0	0	
SF_0082|SF_0082	2	2	0	0	0	124125	124125	0	0	0	
cas_scz_port_eur_A6.0*Port_PT-1O7K|AWING_AZ9025-3	1	0	1	0	0	19395	0	19395	0	0	
TEPEE_p_Bipolar_ED_Affy_P4_BI_SNP_E08_143542.CEL	2	2	0	0	0	126955	126955	0	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-237W|THERM_12763899	1	0	1	0	0	40724	0	40724	0	0	
con_scz_aber_eur_A6.0*Ab_PT-2414|THERM_33262049	1	0	0	0	1	134750	0	0	0	134750	
cas_scz_uclo_eur_A6.0*UCL_PT-1NVL|LAIRS_0S2100	4	3	1	0	0	440591	393333	47258	0	0	
con_scz_aber_eur_A6.0*Ab_PT-25CM|HERBS_BIP18396	3	1	2	0	0	319453	265279	54174	0	0	
cas_scz_uclo_eur_A6.0*UCL_PT-1NTO|SORGO_00S324	3	0	3	0	0	589351	0	589351	0	0	
TEPEE_p_Bipolar_ED_Affy_P4_BI_SNP_B08_143536.CEL	2	1	1	0	0	496587	82565	414022	0	0	
con_scz_aber_eur_A6.0*Ab_PT-23PJ|WHEYS_12785399	2	1	1	0	0	62936	50751	12185	0	0	
SF_0774|SF_0774	9	3	3	3	0	1104022	283460	678881	141681	0	
c734|c734	6	1	5	0	0	303353	26477	276876	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-24B7|GENIP_20273794	2	1	0	1	0	178028	68379	0	109649	0	
cas_scz_uclo_eur_A6.0*UCL_PT-1NZ6|NADAS_0S2225	3	1	2	0	0	446901	30914	415987	0	0	
cas_scz_uclo_eur_A6.0*UCL_PT-1NN6|RURAL_00S039	2	0	2	0	0	413389	0	413389	0	0	
con_scz_port_eur_A6.0*Port_PT-1P8R|MOGGY_AZ8460-12	3	3	0	0	0	580493	580493	0	0	0	
p596|p596	7	4	3	0	0	815731	548612	267119	0	0	
cas_scz_port_eur_A6.0*Port_PT-1PFY|COAST_AZE151-3	4	1	3	0	0	516587	145107	371480	0	0	
con_scz_swe1_eur_A5.0*Sw1_PT-1RZF|YOKEL_36113408	2	0	2	0	0	86906	0	86906	0	0	
cas_scz_port_eur_A6.0*Port_PT-1O7C|MINOR_AZ8542-1	2	0	2	0	0	477215	0	477215	0	0	
cas_scz_port_eur_A6.0*Port_PT-1PG2|COAST_AZE154-3	6	2	4	0	0	469525	212380	257145	0	0	
cas_scz_uclo_eur_A6.0*UCL_PT-1NY2|RYNDS_0S2186	1	1	0	0	0	159115	159115	0	0	0	
cas_scz_swe1_eur_A5.0*Sw1_PT-1S8E|CHICO_36112268	3	2	1	0	0	551927	383330	168597	0	0	
con_scz_aber_eur_A6.0*Ab_PT-247Z|WATAP_33262313	2	1	1	0	0	533428	285267	248161	0	0	
p660|p660	6	3	3	0	0	358925	129669	229256	0	0	
con_scz_aber_eur_A6.0*Ab_PT-23K2|UNMAN_20273863	4	3	1	0	0	333431	190858	142573	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-22LO|THERM_8568214	3	3	0	0	0	766186	766186	0	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-22EC|MAUND_33261627	1	0	1	0	0	49900	0	49900	0	0	
SF_1024|SF_1024	3	2	1	0	0	88314	59891	28423	0	0	
SF_0280|SF_0280	2	1	1	0	0	396997	51274	345723	0	0	
c953|c953	2	0	1	0	1	1779731	0	167997	0	1611734	
cas_scz_aber_eur_A6.0*Ab_PT-22M6|BOURG_8568226	3	0	2	0	1	1081200	0	354594	0	726606	
cas_scz_port_eur_A6.0*Port_PT-1PGU|COAST_AZE200-3	3	1	2	0	0	130822	19358	111464	0	0	
p290|p290	1	1	0	0	0	49426	49426	0	0	0	
SF_0338|SF_0338	2	0	2	0	0	133178	0	133178	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-23CF|THERM_12763886	1	1	0	0	0	131116	131116	0	0	0	
SF_0851|SF_0851	4	1	3	0	0	225286	30666	194620	0	0	
p1207s|p1207s	4	2	2	0	0	899185	61505	837680	0	0	
cas_scz_uclo_eur_A6.0*UCL_PT-1NT1|HOBOS_00S285	3	2	1	0	0	700462	144320	556142	0	0	
con_scz_aber_eur_A6.0*Ab_PT-25CR|STILT_BIP18477	1	0	1	0	0	252432	0	252432	0	0	
con_scz_aber_eur_A6.0*Ab_PT-25IS|COVET_BIP18520	2	1	1	0	0	83987	65939	18048	0	0	
c989|c989	1	0	1	0	0	315712	0	315712	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-22JX|WATAP_33261962	2	0	1	0	1	491858	0	124032	0	367826	
con_scz_port_eur_A6.0*Port_PT-1OJ6|SNOOP_AZ8310-3	1	1	0	0	0	1393312	1393312	0	0	0	
con_scz_swe1_eur_A5.0*Sw1_PT-1SDS|STORK_36113766	2	1	1	0	0	218024	93396	124628	0	0	
SF_0611|SF_0611	5	0	5	0	0	1345978	0	1345978	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-22GC|MAUND_33262424	2	1	1	0	0	288394	158043	130351	0	0	
c639|c639	3	1	2	0	0	201396	62981	138415	0	0	
con_scz_aber_eur_A6.0*Ab_PT-2485|WHEYS_33262307	2	2	0	0	0	291432	291432	0	0	0	
SF_0890|SF_0890	1	1	0	0	0	128593	128593	0	0	0	
cas_scz_swe1_eur_A5.0*Sw1_PT-1S69|CHICO_36112223	1	0	1	0	0	190741	0	190741	0	0	
cas_scz_uclo_eur_A6.0*UCL_PT-1O29|SORGO_0S2299	5	3	2	0	0	353482	157575	195907	0	0	
SF_0845|SF_0845	5	4	1	0	0	702552	628488	74064	0	0	
cas_scz_port_eur_A6.0*Port_PT-1PRA|ANISE_AZ9294-5	2	1	1	0	0	302821	129629	173192	0	0	
cas_scz_port_eur_A6.0*Port_PT-1OCF|AWING_AZE132-3	4	2	2	0	0	1545157	166378	1378779	0	0	
TEPEE_p_Bipolar_ED_Affy_P4_BI_SNP_F04_143480.CEL	1	1	0	0	0	126875	126875	0	0	0	
SF_0163|SF_0163	1	1	0	0	0	302416	302416	0	0	0	
con_scz_aber_eur_A6.0*Ab_PT-242D|WHEYS_33261610	2	1	1	0	0	540121	455086	85035	0	0	
con_scz_aber_eur_A6.0*Ab_PT-25I9|WATAP_BIP18398	1	1	0	0	0	75249	75249	0	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-22FW|GENIP_33262282	3	0	3	0	0	534941	0	534941	0	0	
cas_scz_uclo_eur_A6.0*UCL_PT-1NYN|RURAL_0S2207	3	1	2	0	0	361702	235808	125894	0	0	
c962|c962	4	2	2	0	0	1481836	101062	1380774	0	0	
c627|c627	3	2	1	0	0	220593	209365	11228	0	0	
con_scz_swe1_eur_A5.0*Sw1_PT-1RUX|CHICO_36114311	2	1	1	0	0	178807	96802	82005	0	0	
SF_0854|SF_0854	3	1	1	1	0	378305	29562	229900	118843	0	
cas_scz_aber_eur_A6.0*Ab_PT-22R1|DRECK_8567837	2	1	1	0	0	225301	73078	152223	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-22PA|GOUTS_8568258	1	0	1	0	0	86230	0	86230	0	0	
c1006|c1006	3	1	1	0	1	1751507	65033	74740	0	1611734	
cas_scz_uclo_eur_A6.0*UCL_PT-1O2E|HOBOS_0S2304	2	1	1	0	0	1280763	30326	1250437	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-22EP|THERM_33262625	1	0	1	0	0	87893	0	87893	0	0	
cas_scz_port_eur_A6.0*Port_PT-1PI8|COAST_AZ8575-5	3	2	1	0	0	545696	408110	137586	0	0	
c739|c739	4	2	2	0	0	761080	359570	401510	0	0	
SF_0279|SF_0279	3	1	1	0	1	300023	58470	159647	0	81906	
p628|p628	3	1	1	0	1	366971	55612	168927	0	142432	
p1061|p1061	4	0	4	0	0	2612554	0	2612554	0	0	
cas_scz_uclo_eur_A6.0*UCL_PT-1O3X|SORGO_F074-06	1	1	0	0	0	116492	116492	0	0	0	
SF_1032|SF_1032	1	1	0	0	0	123504	123504	0	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-229S|THERM_7468151	5	3	2	0	0	1124235	841333	282902	0	0	
SF_0849|SF_0849	3	1	1	1	0	1612256	32912	1517245	62099	0	
cas_scz_aber_eur_A6.0*Ab_PT-22GW|UNMAN_33261986	3	1	2	0	0	676282	125966	550316	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-22AO|UNMAN_33262232	1	0	1	0	0	1616347	0	1616347	0	0	
p1060a|p1060a	1	1	0	0	0	194354	194354	0	0	0	
cas_scz_uclo_eur_A6.0*UCL_PT-1NQJ|GAUZE_00S163	3	1	2	0	0	180259	95255	85004	0	0	
cas_scz_uclo_eur_A6.0*UCL_PT-1NQ6|LAIRS_00S149	2	1	1	0	0	362587	37958	324629	0	0	
con_scz_port_eur_A6.0*Port_PT-1OHP|SAUCY_AZ8256-7	4	1	3	0	0	181617	40876	140741	0	0	
SF_0818|SF_0818	2	2	0	0	0	335418	335418	0	0	0	
con_scz_aber_eur_A6.0*Ab_PT-23NF|GENIP_8918147	2	0	2	0	0	390891	0	390891	0	0	
c1022|c1022	5	3	2	0	0	263682	133459	130223	0	0	
c595|c595	2	0	2	0	0	109162	0	109162	0	0	
XENON_p_Bipolar_ED_Affy_P3_REDO_BI_SNP_A07_162148.CEL	4	1	3	0	0	1042325	144405	897920	0	0	
XENON_p_Bipolar_ED_Affy_P3_REDO_BI_SNP_D03_162090.CEL	2	0	1	1	0	155737	0	55925	99812	0	
con_scz_aber_eur_A6.0*Ab_PT-23E7|GENIP_20273369	3	2	1	0	0	409599	107776	301823	0	0	
TONDO_p_Bipolar_ED_Affy_P2_BI_SNP_B07_143322.CEL	2	0	2	0	0	308762	0	308762	0	0	
cas_scz_swe1_eur_A5.0*Sw1_PT-1TCN|AWING_36112644	3	1	2	0	0	190230	47314	142916	0	0	
cas_scz_swe1_eur_A5.0*Sw1_PT-1SDX|YOKEL_36112576	1	1	0	0	0	587752	587752	0	0	0	
con_scz_port_eur_A6.0*Port_PT-1OIQ|SAUCY_AZ8295-18	1	0	1	0	0	108867	0	108867	0	0	
SF_0109|SF_0109	2	2	0	0	0	316934	316934	0	0	0	
cas_scz_port_eur_A6.0*Port_PT-1O97|MINOR_AZ9132-3	3	2	1	0	0	297333	143129	154204	0	0	
SF_0054|SF_0054	2	0	2	0	0	158189	0	158189	0	0	
con_scz_aber_eur_A6.0*Ab_PT-241A|BLOCK_33248136	1	0	1	0	0	186653	0	186653	0	0	
cas_scz_uclo_eur_A6.0*UCL_PT-1NUT|LAIRS_00S659	1	1	0	0	0	34794	34794	0	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-22QQ|MAUND_8566621	1	1	0	0	0	131951	131951	0	0	0	
SF_0868|SF_0868	3	1	2	0	0	359483	37857	321626	0	0	
cas_scz_swe1_eur_A5.0*Sw1_PT-1SDE|SODIC_36112323	1	1	0	0	0	53109	53109	0	0	0	
con_scz_port_eur_A6.0*Port_PT-1P7X|SAUCY_AZ8431-2	3	2	1	0	0	309194	271030	38164	0	0	
c973|c973	6	3	2	0	1	338052	168236	52283	0	117533	
SF_0075|SF_0075	1	0	1	0	0	202179	0	202179	0	0	
p1298|p1298	5	1	4	0	0	721871	43411	678460	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-22X6|TRACK_12765088	3	3	0	0	0	132616	132616	0	0	0	
cas_scz_uclo_eur_A6.0*UCL_PT-1NOJ|RYNDS_00S088	1	1	0	0	0	99978	99978	0	0	0	
c597|c597	4	3	1	0	0	366245	183404	182841	0	0	
SF_0288|SF_0288	2	2	0	0	0	1125134	1125134	0	0	0	
cas_scz_uclo_eur_A6.0*UCL_PT-1NNQ|NADAS_00S060	1	0	1	0	0	491642	0	491642	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-22Q1|THERM_8568271	2	1	1	0	0	102286	66437	35849	0	0	
SF_0068|SF_0068	3	2	1	0	0	106738	70613	36125	0	0	
con_scz_port_eur_A6.0*Port_PT-1OJ4|MOGGY_AZ8308-5	1	0	1	0	0	34392	0	34392	0	0	
c688|c688	2	2	0	0	0	102323	102323	0	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-22FH|GENIP_33262348	1	0	1	0	0	226347	0	226347	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-24BP|TRACK_8936908	2	1	1	0	0	242206	177717	64489	0	0	
SF_1101|SF_1101	3	2	0	1	0	455184	390299	0	64885	0	
c632|c632	4	3	1	0	0	799832	163360	636472	0	0	
SF_1022|SF_1022	1	0	1	0	0	100009	0	100009	0	0	
SF_0484|SF_0484	2	1	1	0	0	278185	260137	18048	0	0	
con_scz_aber_eur_A6.0*Ab_PT-24S3|GENIP_BIP19464	1	0	0	0	1	499359	0	0	0	499359	
cas_scz_uclo_eur_A6.0*UCL_PT-1NOO|HOBOS_00S093	1	0	0	0	1	56248	0	0	0	56248	
cas_scz_aber_eur_A6.0*Ab_PT-2378|MAUND_12765051	1	1	0	0	0	54808	54808	0	0	0	
SF_0936|SF_0936	5	2	2	1	0	1659662	279393	1340403	39866	0	
cas_scz_aber_eur_A6.0*Ab_PT-22RX|THERM_8567874	2	2	0	0	0	68474	68474	0	0	0	
SF_0538|SF_0538	1	0	1	0	0	51979	0	51979	0	0	
con_scz_aber_eur_A6.0*Ab_PT-25JX|WATAP_BIP19506	1	1	0	0	0	144038	144038	0	0	0	
p1190|p1190	4	2	2	0	0	158177	48449	109728	0	0	
cas_scz_swe1_eur_A5.0*Sw1_PT-1S7B|CHICO_36112365	1	1	0	0	0	42904	42904	0	0	0	
cas_scz_aber_eur_A6.0*Ab_PT-22A8|MUTER_33262061	2	1	1	0	0	80975	42154	38821	0	0	
cas_scz_uclo_eur_A6.0*UCL_PT-1O1E|NADAS_0S2269	2	2	0	0	0	191075	191075	0	0	0	
SF_0204|SF_0204	2	1	1	0	0	608901	383831	225070	0	0	
